Campus,Account Amount,Bilingual Spending
15907161,5438694,21542.0
15907162,4463285,
15907163,4816808,41179.0
15907164,5639546,193317.0
15907165,3631339,13557.0
15907166,3032631,
15907168,6207005,
15907169,4472439,5822.0
15907172,3296331,15713.0
15907174,3729034,24775.0
15907175,5773476,14093.0
15907176,4314262,20971.0
15907177,4217277,
15907179,5987981,16279.0
15907180,279240,
15907182,714431,
15907184,140007,
15907195,1774164,
15907201,154548,
15907202,239520,
15907210,4780510,2327.0
15907239,731516,
15907240,5774642,9897.0
15907241,6164805,392863.0
15907242,2967988,4945.0
15907244,3409000,3847.0
15907245,2753774,2900.0
15907246,1194076,1167.0
15907699,1642422,25115.0
15907701,1929465,
15907702,55910,
15907703,1562064,
15907750,14647779,
15907751,1635144,
15907999,267676631,850733.0
15908000,240512494,
15908001,19409454,9391.0
15908006,121226,
15908041,5021762,4962.0
15908042,4585514,5642.0
15908044,4652438,5321.0
15908046,2294036,4587.0
15908104,3887939,67240.0
15908105,3212675,
15908106,3873739,
15908107,3732567,75217.0
15908108,3670811,
15908109,3873916,112230.0
15908110,2995776,
15908112,3082409,
15908113,4294709,87100.0
15908115,2422715,53105.0
15908699,192222,3325.0
15908701,596323,
15908702,60505,
15908703,122552,
15908750,2711260,
15908998,1804064,
15908999,39505533,177368.0
15909000,141652579,
15909001,10610765,868.0
15909006,882103,
15909041,4834229,
15909101,4709402,72352.0
15909103,2758577,110167.0
15909104,4634089,161153.0
15909105,3937266,65284.0
15909699,247753,4500.0
15909701,407660,
15909702,145953,
15909703,80134,
15909750,1082884,
15909999,17530207,4376.0
15910000,1495769511,
15910001,38486337,137721.0
15910002,20454196,
15910003,22246120,
15910004,23049025,31381.0
15910005,26135990,743.0
15910007,24899885,
15910008,1783714,
15910009,2765509,
15910012,2731080,
15910014,21440785,109759.0
15910022,153782,
15910041,8677398,31347.0
15910042,10123301,47939.0
15910043,15567783,
15910044,17068113,31527.0
15910045,9296561,127566.0
15910046,9710570,6862.0
15910047,7834544,8490.0
15910048,9076203,30176.0
15910049,6805025,
15910050,7966227,
15910053,1601024,
15910056,8009461,67.0
15910057,8827295,
15910058,8181362,
15910059,7873204,
15910101,5109480,
15910102,6464214,205941.0
15910103,6457122,222628.0
15910104,4262791,
15910105,6580374,201366.0
15910106,5371884,
15910107,6764603,214383.0
15910108,7237236,205043.0
15910109,4218830,
15910110,4454151,6399.0
15910111,5691943,201670.0
15910112,5972043,206469.0
15910113,5082995,
15910114,6127245,200171.0
15910116,4258305,
15910117,5438110,3325.0
15910118,5254020,3543.0
15910119,3888745,
15910120,6479049,211437.0
15910121,6349843,211104.0
15910122,10256687,
15910123,8104176,
15910124,6278720,
15910125,7670933,206382.0
15910126,5368688,
15910127,6057467,3150.0
15910128,6020396,
15910129,5358591,
15910130,5883766,
15910131,4708476,
15910133,6229625,202868.0
15910134,5000926,
15910135,5366200,1815.0
15910136,5158876,
15910137,5219856,
15910138,4834128,
15910139,6515811,203641.0
15910140,4894390,
15910141,7164521,220274.0
15910142,7141831,
15910143,4773196,
15910144,5383022,
15910145,6361329,
15910146,4394381,
15910147,6555546,204343.0
15910148,6156821,27398.0
15910160,2065,
15910699,501776,13053.0
15910701,842743,
15910702,707498,
15910703,2572257,
15910720,568856,
15910750,11671483,
15910751,1623525,
15910998,71504,
