Campus Number,Bilingual Spending,Account Amount,2020 EL Denominator,2020 All Students Denominator,Percentage Bilingual Spending,2020 EL Pop Percent
15904041,4959.0,7455426.0,,,0.0006651531381305374,
15904042,36428.0,7504273.0,,,0.00485430100957148,
15904043,3654.0,6355497.0,,,0.0005749353669744475,
15904044,8627.0,6251403.0,,,0.001380010215306868,
15904045,,,,,,
15904047,,83059.0,,,,
15904048,,,,,,
15904101,59393.0,4112598.0,,,0.014441722726121054,
15904102,63320.0,4818647.0,,,0.013140618102965417,
15904103,40937.0,4138164.0,,,0.009892551382690488,
15904104,488192.0,3976586.0,,,0.12276661437725728,
15904105,69590.0,5767841.0,,,0.0120651730864287,
15904106,67465.0,5481682.0,,,0.012307353837745422,
15904107,74849.0,4798808.0,,,0.015597415024731142,
15904108,328610.0,5826317.0,,,0.05640098195824223,
15904109,44752.0,3693828.0,,,0.012115344840095424,
15904110,38717.0,3647994.0,,,0.010613230175268929,
15904113,189936.0,4031757.0,,,0.04710998207481255,
15904114,181297.0,3746033.0,,,0.048397064307762375,
15904115,,1488604.0,,,,
15904116,51328.0,4392986.0,,,0.011684080031213394,
15905002,18901.0,9062916.0,16.0,243.0,0.00208553185310335,0.06584362139917696
15905003,17649.0,9912540.0,46.0,309.0,0.0017804720081835736,0.1488673139158576
15905015,17649.0,3388066.0,,,0.005209166527452535,
15905041,82919.0,6352446.0,,,0.013053082230057524,
15905044,81113.0,4895960.0,,,0.016567333066446623,
15905046,77887.0,5575343.0,,,0.013969902838264839,
15905104,290446.0,4623831.0,,,0.0628150120538575,
15905106,177543.0,4683997.0,,,0.03790416603597312,
15905108,104536.0,2975311.0,,,0.03513447837889888,
15905109,186651.0,4204746.0,,,0.0443905529608685,
15905110,213954.0,4410759.0,,,0.04850729772358907,
15905112,212267.0,5793374.0,,,0.03663961622363755,
15905113,203460.0,4260303.0,,,0.04775716656773004,
15905114,206300.0,4240406.0,,,0.048651001814448896,
15905116,205160.0,4295515.0,,,0.04776144420401279,
15905117,204164.0,4358792.0,,,0.04683958307714615,
15905118,9682.0,3223228.0,,,0.0030038210142130806,
15905125,9682.0,3485558.0,,,0.0027777474940884643,
15905140,212.0,995914.0,,,0.0002128697859453728,
15905141,,37354.0,,,,
15906001,1024.0,5271382.0,,117.0,0.00019425645874269785,
15906041,191.0,3038836.0,,,6.28530134564682e-05,
15906101,124.0,7910408.0,,,1.5675550489936802e-05,
15907001,4606.0,36882853.0,44.0,333.0,0.00012488187939257303,0.13213213213213212
15907002,4666.0,31378570.0,36.0,275.0,0.00014870021164125707,0.13090909090909092
15907003,5134.0,32320981.0,49.0,327.0,0.00015884418854737113,0.14984709480122324
15907004,,18533629.0,,86.0,,
15907005,9481.0,14781602.0,54.0,340.0,0.0006414054444166471,0.1588235294117647
15907006,2802.0,31955369.0,17.0,237.0,8.768479562855307e-05,0.07172995780590717
15907007,3977.0,35246982.0,37.0,351.0,0.00011283235540563444,0.10541310541310542
15907008,9472.0,33389978.0,55.0,355.0,0.00028367793473838167,0.15492957746478872
15907010,,2742435.0,,,,
15907020,,,,,,
15907022,,3459734.0,,92.0,,
15907023,,4652927.0,,49.0,,
15907024,2324.0,3534800.0,19.0,179.0,0.0006574629399117347,0.10614525139664804
15907025,,2617591.0,,49.0,,
15907026,6991.0,9738785.0,,,0.0007178513541473602,
15907027,,4919330.0,,,,
15907028,2333.0,2846967.0,,,0.0008194685783150981,
15907030,,1694840.0,,,,
15907043,2333.0,18023464.0,,,0.00012944237578303483,
15907047,2332.0,7372999.0,,,0.00031628920606119706,
15907050,4647.0,8326611.0,,,0.0005580902002026995,
15907051,2330.0,4614696.0,,,0.0005049086657062567,
15907054,2327.0,4481879.0,,,0.0005192018793903182,
15907055,2332.0,5988104.0,,,0.00038943879398220207,
15907057,,17439675.0,,,,
15907059,4766.0,6011050.0,,,0.0007928731253275218,
15907061,2312.0,17046288.0,,,0.0001356307015345511,
15907064,,1859005.0,,,,
15907101,29003.0,5058381.0,,,0.0057336527240632925,
15907103,12359.0,6192784.0,,,0.001995709845523435,
15907105,5247.0,3552609.0,,,0.0014769427201248434,
15907106,15138.0,4599658.0,,,0.0032911142524074616,
15907107,46576.0,5341353.0,,,0.008719888013392862,
15907110,9610.0,11906308.0,,,0.0008071351757404562,
15907112,13374.0,3762779.0,,,0.00355428793452924,
15907114,,3881855.0,,,,
15907116,45486.0,4125360.0,,,0.011025946826458782,
15907117,13987.0,4480821.0,,,0.003121526166744889,
15907118,383343.0,6561406.0,,,0.05842391097273968,
15907119,13969.0,3934548.0,,,0.003550344283511092,
15907120,,2851291.0,,,,
15907121,31792.0,5568273.0,,,0.005709490177654724,
15907123,13576.0,5036118.0,,,0.0026957271453925424,
15907124,,2788099.0,,,,
15907125,,5279774.0,,,,
15907126,197278.0,4114107.0,,,0.0479515967863743,
15907127,,3274239.0,,,,
15907129,28363.0,5971611.0,,,0.004749639586369574,
15907131,,3148661.0,,,,
15907132,220443.0,4322950.0,,,0.050993650169444474,
15907133,,4891.0,,,,
15907134,20384.0,4656655.0,,,0.004377391067193081,
15907135,13605.0,4440212.0,,,0.003064042888042283,
15907136,12883.0,4176507.0,,,0.0030846350790265644,
15907137,,5686294.0,,,,
15907138,361697.0,3485023.0,,,0.10378611561530583,
15907139,,3756540.0,,,,
15907141,15506.0,7260573.0,,,0.002135644115140775,
15907142,,3528740.0,,,,
15907143,,2644047.0,,,,
15907144,19294.0,6514941.0,,,0.0029615003420598897,
15907146,13395.0,4783291.0,,,0.0028003732158465794,
15907147,16891.0,13513434.0,,,0.0012499413546549307,
15907148,13390.0,4547174.0,,,0.0029446860841480884,
15907149,12639.0,5407834.0,,,0.002337164935166279,
15907150,15521.0,4777101.0,,,0.0032490416258730975,
